"sex","birth","marriage","religion","income"
2,1936,1,1,NA
1,1957,1,2,NA
2,1958,1,1,NA
2,1979,1,2,NA
1,1983,5,2,NA
1,1975,1,2,350
2,2009,0,2,NA
1,2012,0,2,NA
1,1962,1,2,250.4
2,1964,1,2,140.4
1,1990,5,2,120
1,1952,1,2,NA
2,1957,1,2,NA
1,1981,1,2,458
2,1984,5,2,296.6
2,1986,1,2,363
1,1952,3,2,NA
1,1929,2,2,NA
2,1931,2,1,NA
2,1960,5,1,NA
1,1936,1,2,NA
2,1936,1,2,NA
1,1960,5,2,NA
1,1966,1,2,NA
2,1966,1,2,NA
2,2004,0,2,NA
2,2004,0,2,NA
1,1938,1,1,NA
2,1939,1,1,NA
1,1960,1,2,NA
2,1962,1,2,70
2,1987,1,2,310
1,1961,1,1,NA
2,1968,1,1,173.3
1,1998,0,1,NA
2,1999,0,1,NA
1,1964,1,1,375
2,1975,1,1,NA
2,1997,5,1,NA
1,1999,0,1,NA
2,1942,3,1,NA
1,1936,1,1,NA
2,1939,1,1,NA
2,2008,0,1,NA
2,2011,0,1,NA
1,1974,1,2,312
2,1981,1,2,NA
2,2007,0,2,NA
1,1940,1,2,NA
2,1943,1,2,NA
1,2000,0,1,NA
1,1968,3,1,NA
1,1955,1,1,NA
2,1961,1,1,NA
1,1961,1,2,308.8
2,1961,1,1,NA
1,1938,1,1,NA
2,1943,1,1,NA
1,1979,1,2,308.3
2,1983,1,2,NA
1,2010,0,2,NA
1,1945,1,1,NA
2,1953,1,1,NA
2,1946,2,2,NA
2,1947,4,2,NA
1,2001,0,2,NA
1,1926,1,1,NA
2,1935,1,1,NA
1,1944,1,2,NA
2,1950,1,2,97.5
1,1978,5,2,591.7
2,1979,5,2,177.6
1,1981,5,2,NA
2,1927,2,1,NA
1,1973,5,1,346
1,1943,2,2,NA
1,1970,1,1,435.8
2,1969,1,2,331.2
1,1999,0,2,NA
1,1930,2,2,NA
2,1943,2,1,NA
1,1979,5,1,NA
1,1942,1,1,NA
2,1943,1,1,NA
1,1947,1,1,NA
2,1948,1,1,NA
2,1980,5,1,302.5
1,1963,1,1,NA
2,1961,1,1,NA
1,1937,1,1,NA
2,1937,1,1,NA
1,1937,1,2,NA
2,1943,1,2,NA
1,1936,1,1,NA
2,1939,1,1,NA
1,1969,1,2,347.1
2,1971,1,2,NA
2,2000,0,2,NA
2,2002,0,2,NA
2,1972,1,2,300
1,1979,1,2,230
2,2010,0,2,NA
1,2012,0,2,NA
2,1956,2,1,220.8
1,1982,5,1,266.2
1,1945,1,2,NA
2,1948,1,2,NA
2,1954,3,1,112.5
1,1974,1,2,714.4
2,1974,1,2,NA
2,2005,0,2,NA
1,1963,1,1,240.4
2,1964,1,1,20
2,1990,5,1,225
1,1991,5,1,NA
2,1935,2,1,NA
1,1950,1,1,NA
2,1953,1,1,NA
1,1928,2,2,NA
2,1930,6,2,NA
2,1958,3,1,102.8
1,1950,1,2,80
2,1954,1,2,NA
1,1977,1,2,780
2,1979,1,2,320
2,1979,1,2,NA
1,2010,0,2,NA
1,1980,1,2,323
1,2014,0,2,NA
2,2014,0,2,NA
2,2014,0,2,NA
2,1969,1,2,NA
1,1970,1,2,608
2,1946,2,1,163.3
1,1982,1,2,NA
2,1982,1,2,NA
2,2008,0,2,NA
2,2014,0,2,NA
1,1963,1,1,195.3
2,1973,1,1,NA
2,1998,0,1,NA
2,2000,0,1,NA
2,2004,0,1,NA
2,2007,0,1,NA
2,1943,2,1,NA
1,1932,1,1,20
2,1938,1,1,NA
1,1969,5,1,82
2,1930,2,2,NA
2,1953,3,1,NA
2,1983,1,2,NA
2,2013,0,2,NA
1,1978,1,2,347
1,2010,0,2,NA
1,1965,1,2,464.2
