province,office,address,website
경북,문경경찰서,경북 문경시 매봉로 35,http://www.gbpolice.go.kr/mg
경북,봉화경찰서,경북 봉화군 봉화읍 내성로 73,http://www.gbpolice.go.kr/bh
경북,상주경찰서,경북 상주시 중앙로 230,http://www.gbpolice.go.kr/sangju
경북,성주경찰서,경북 성주군 성주읍 성주순환로 251,http://www.gbpolice.go.kr/sj
경북,안동경찰서,경북 안동시 제비원로 103,http://www.gbpolice.go.kr/ad
경북,영덕경찰서,경북 영덕군 영덕읍 남산1길 14,http://www.gbpolice.go.kr/yd
경북,영양경찰서,경북 영양군 영양읍 영양창수로 135,http://www.gbpolice.go.kr/yy
경북,영주경찰서,경북 영주시 광복로 47,http://www.gbpolice.go.kr/yj
경북,영천경찰서,경북 영천시 금호읍 최무선로 1,http://www.gbpolice.go.kr/yc
경북,울릉경찰서,경북 울릉군 울릉읍 도동2길 62,http://www.gbpolice.go.kr/ul
경북,예천경찰서,경북 예천읍 군청길 21,http://www.gbpolice.go.kr/yecheon
경북,울진경찰서,경북 울진군 울진읍 울진중앙로 28,http://www.gbpolice.go.kr/uj
경북,의성경찰서,경북 의성군 의성읍 동서1길 31,http://www.gbpolice.go.kr/us
경북,청도경찰서,경북 청도군 청도읍 새마을로 1362,http://www.gbpolice.go.kr/cd
경북,청송경찰서,경북 청송군 청송읍 월막1길 5-15,http://www.gbpolice.go.kr/cs
경북,칠곡경찰서,경북 칠곡군 약목면 칠곡대로 1050,http://www.gbpolice.go.kr/cg
경북,포항남부경찰서,경북 포항시 남구 연일로 55,http://www.gbpolice.go.kr/phnb
경북,포항북부경찰서,경북 포항시 북구 중앙로 331,http://www.gbpolice.go.kr/phbb
경남,경남지방경찰청,경남 창원시 의창구 상남로 289,http://www.gnpolice.go.kr
경남,거제경찰서,경남 거제시 진목1길 2,http://www.gnpolice.go.kr/gj
경남,거창경찰서,경남 거창군 거창읍 중앙로 97,http://www.gnpolice.go.kr/gc
